feat,importance
K21471,2.1755883017576667
K22719,2.1696653511253263
K00647,2.1678379759687187
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii,2.164955446321974
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,2.1470404753272225
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_sp_D6,2.146017043398381
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica,2.1328834217783785
K02418,2.132448929176459
K01471,2.130889878177408
K07452,2.129252095925037
K15971,2.1242589934663503
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_HGB5,2.1239121928811002
K06200,2.119092085476945
K23775,2.1177167706591673
K00943,2.1166393186722363
K02385,2.1059216372591387
K02478,2.1005324607463027
K03151,2.0967982998527055
K20490,2.096519713648373
K13683,2.096337184508226
K06132,2.096285472412996
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum,2.094611434163649
K01929,2.0927852863965155
K02469,2.0923940303255177
K07816,2.0909396890128815
K20984,2.0893945065537283
K21836,2.0876862290223475
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_sp_D13,2.087432687752873
K05791,2.086121161262774
K06412,2.0861158572879464
K16870,2.0786780252328714
K10541,2.0737226897876964
K03543,2.0735371238042672
K20679,2.0730566905740453
K05275,2.0703037866260225
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16,2.0645041019888533
K16329,2.06288437674811
K02067,2.058046546682813
K18784,2.055531972261019
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,2.054605780496781
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified,2.051430525139943
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,2.047756572548674
K11068,2.047023377773254
K03118,2.043776509747653
K19049,2.042945244233119
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8,2.042147855021535
K03630,2.036965585645244
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA,2.036908490379563
K03466,2.0357402152621913
K25086,2.020929769918436
K06940,2.0200829568439023
K01935,2.019671754110272
K22300,2.019019244519763
K10212,2.0163073605813184
K26217,2.01520861130211
K23102,2.0152018250082584
K07341,2.012896373800682
K07705,2.0109210342598036
K03286,2.0081506979786314
K23105,2.0072954177485323
K01709,2.005315534306643
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_21_3,2.0034512339334416
K01246,2.000981196402786
K03643,1.983146803532231
K07459,1.982907761448809
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola,1.9756901800574216
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_phI,1.9739263320516258
K01489,1.9736095728876513
K00852,1.9717540081606977
K04043,1.9685568854420081
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea|s__Pantoea_unclassified,1.9649218707490912
K03573,1.9641639273486324
K17108,1.9602579330312395
K05967,1.954561226777182
K08175,1.9529068330884798
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis,1.9491088099675773
K06919,1.9363104964577318
K02015,1.9288412759306048
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,1.925253760666231
K04072,1.9215752545078384
K21472,1.9194528046463324
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis,1.9127341652638223
K06406,1.9078229295532723
K06398,1.9012881259986858
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_unclassified,1.8951523577020337
K00703,1.8934142422658597
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme,1.8911310735274962
K05946,1.8863372959221985
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA,1.8846213695069227
K02897,1.8816508769489189
K16107,1.879075268836454
K14058,1.8767915062198846
K03634,1.8760440177502409
K08307,1.8664802446837656
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified,1.8663098044160564
K21929,1.8657272898999462
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,1.8641799500448932
K03651,1.8597207878199185
